Spell Name,,Discription,Ritual ,Option_A,Casting Time,Cast condition,Components,Material,Duration,Page No.,Use,Save/ Attack Roll,Utility Effect,Damage Type ,Letter,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock ,Wizard
Gaseous Form,abjuration,"A willing creature you touch shape-shifts, along with everything it’s wearing and carrying, into a misty cloud for the duration. The
spell ends on the target if it drops to 0 Hit Points or if it takes a Magic action to end the spell on itself.
While in this form, the target’s only method of movement is a Fly Speed of 10 feet, and it can hover. The target can enter and
occupy the space of another creature. The target has Resistance to Bludgeoning, Piercing, and Slashing damage; it has Immunity
to the Prone condition; and it has Advantage on Strength, Dexterity, and Constitution saving throws. The target can pass through narrow openings, but it treats liquids as though they were solid surfaces.
The target can’t talk or manipulate objects, and any objects it was carrying or holding can’t be dropped, used, or otherwise
interacted with. Finally, the target can’t attack or cast spells.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3.",No,Level 3,Action,,"V, S, M",(a bit of gauze),"Concentration, up to 1 Hour",277,Utility,_,_,_,G,No,No,No,No,No,Yes,Yes,Yes
Gate,enchantment,"You conjure a portal linking an unoccupied space you can see within range to a precise location on a different plane of existence.
The portal is a circular opening, which you can make 5 to 20 feet in diameter. You can orient the portal in any direction you choose.
The portal lasts for the duration, and the portal’s destination is visible through it.
The portal has a front and a back on each plane where it appears. Travel through the portal is possible only by moving through its
front. Anything that does so is instantly transported to the other plane, appearing in the unoccupied space nearest to the portal.
Deities and other planar rulers can prevent portals created by this spell from opening in their presence or anywhere within their domains.
When you cast this spell, you can speak the name of a specific creature (a pseudonym, title, or nickname doesn’t work). If that
creature is on a plane other than the one you are on, the portal opens next to the named creature and transports it to the nearest
unoccupied space on your side of the portal. You gain no special power over the creature, and it is free to act as the DM deems
appropriate. It might leave, attack you, or help you.
",No,Level 9,Action,,"V, S, M**","(a diamond worth at least 5,000+ GP)","Concentration, up to 1 Minute",277,Utility,_,Planar Travel,_,G,No,Yes,No,No,No,Yes,Yes,Yes
Geas,divination,"You give a verbal command to a creature that you can see within range, ordering it to carry out some service or refrain from an
action or a course of activity as you decide. The target must succeed on a Wisdom saving throw or have the Charmed condition
for the duration. The target automatically succeeds if it can’t understand your command.
While Charmed, the creature takes 5d10 Psychic damage if it acts in a manner directly counter to your command. It takes this
damage no more than once each day.
You can issue any command you choose, short of an activity that would result in certain death. Should you issue a suicidal
command, the spell ends.
A Remove Curse, Greater Restoration, or Wish spell ends this spell.
Using a Higher-Level Spell Slot. If you use a level 7 or 8 spell slot, the duration is 365 days. If you use a level 9 spell slot, the spell lasts until it is ended by one of the spells mentioned above.",No,Level 5,1 Minute,,V,,30 Days,278,Charm / Control,Wisdom Save,Command,_,G,Yes,Yes,Yes,Yes,No,No,No,Yes
Gentle Repose,illusion,"You touch a corpse or other remains. For the duration, the target is protected from decay and can’t become Undead.
The spell also effectively extends the time limit on raising the target from the dead, since days spent under the influence of this spell don’t count against the time limit of spells such as Raise Dead.
",Yes,Level 2,Action,,"V, S, M**","(2 Copper Pieces,which the spell consumes)",10 Days,278,Utility,_,Death Negating ,_,G,No,Yes,No,Yes,No,No,No,Yes
Giant Insect,abjuration,"You summon a giant centipede, spider, or wasp (chosen when you cast the spell). It manifests in an unoccupied space you can see
within range and uses the Giant Insect stat bloc (pg. 279). The form you choose determines certain details in its stat block. The creature
disappears when it drops to 0 Hit Points or when the spell ends.
The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger.
Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block",No,Level 4,Action,,"V, S",,"Concentration, up to 10 Minutes",279,Minion/Summon,_,_,_,G,No,No,Yes,No,No,No,No,No
Glibness,illusion,"Until the spell ends, when you make a Charisma check, you can replace the number you roll with a 15. Additionally, no matter what
you say, magic that would determine if you are telling the truth indicates that you are being truthful.
",No,Level 8,Action,,V,,1 Hour,279,Buff,_,_,_,G,Yes,No,No,No,No,No,Yes,No
Globe Of Invulnerability,necromancy,"An immobile, shimmering barrier appears in a 10-foot Emanation around you and remains for the duration.
Any spell of level 5 or lower cast from outside the barrier can’t affect anything within it. Such a spell can target creatures and
objects within the barrier, but the spell has no effect on them. Similarly, the area within the barrier is excluded from areas of effect
created by such spells.
Using a Higher-Level Spell Slot. The barrier blocks spells of 1 level higher for each spell slot level above 6.",No,Level 6,Action,,"V, S, M",(a glass bead),"Concentration, up to 1 Minute",279,Utility,_,Anti Magic,_,G,No,No,No,No,No,Yes,No,Yes
Glypth Of Warding ,divination,"You inscribe a glyph that later unleashes a magical effect. You inscribe it either on a surface (such as a table or a section of floor)
or within an object that can be closed (such as a book or chest) to conceal the glyph. The glyph can cover an area no larger than
10 feet in diameter. If the surface or object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the
spell ends without being triggered.
The glyph is nearly imperceptible and requires a successful Wisdom (Perception) check against your spell save DC to notice.
When you inscribe the glyph, you set its trigger and choose whether it’s an explosive rune or a spell glyph, as explained below.
Set the Trigger. You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, common triggers
include touching or stepping on the glyph, removing another object covering it, or approaching within a certain distance of it. For
glyphs inscribed within an object, common triggers include opening that object or seeing the glyph. Once a glyph is triggered, this
spell ends.
You can refine the trigger so that only creatures of certain types activate it (for example, the glyph could be set to affect
Aberrations). You can also set conditions for creatures that don’t trigger the glyph, such as those who say a certain password.
Explosive Rune. When triggered, the glyph erupts with magical energy in a 20-foot-radius Sphere centered on the glyph. Each
creature in the area makes a Dexterity saving throw. A creature takes 5d8 Acid, Cold, Fire, Lightning, or Thunder damage (your
choice when you create the glyph) on a failed save or half as much damage on a successful one.
Spell Glyph. You can store a prepared spell of level 3 or lower in the glyph by casting it as part of creating the glyph. The spell must
target a single creature or an area. The spell being stored has no immediate effect when cast in this way.
When the glyph is triggered, the stored spell takes effect. If the spell has a target, it targets the creature that triggered the glyph. If
the spell affects an area, the area is centered on that creature. If the spell summons Hostile creatures or creates harmful objects
or traps, they appear as close as possible to the intruder and attack it. If the spell requires Concentration, it lasts until the end of its
full duration.
Using a Higher-Level Spell Slot. The damage of an explosive rune increases by 1d8 for each spell slot level above 3. If you create
a spell glyph, you can store any spell of up to the same level as the spell slot you use for the Glyph of Warding",No,Level 3,1 Hour,,"V, S, M**","powdered diamond worth 200+ GP, which the spell consumes",Until Dispelled or Triggered,279,Utility ,_,_,_,G,Yes,Yes,No,No,No,No,No,Yes
Goodberry,transmutation,"Ten berries appear in your hand and are infused with magic for the duration. A creature can take a Bonus Action to eat one berry.
Eating a berry restores 1 Hit Point, and the berry provides enough nourishment to sustain a creature for one day.
Uneaten berries disappear when the spell ends",No,Level 1,Action,,"V, S, M",(a sprig of mistletoe),Instantaneous,280,Utility ,_,_,_,G,No,No,Yes,No,Yes,No,No,No
Grasping Vine,evocation,"You conjure a vine that sprouts from a surface in an unoccupied space that you can see within range. The vine lasts for the
duration.
Make a melee spell attack against a creature within 30 feet of the vine. On a hit, the target takes 4d8 Bludgeoning damage and is
pulled up to 30 feet toward the vine; if the target is Huge or smaller, it has the Grappled condition (escape DC equal to your spell save DC). The vine can grapple only one creature at a time, and you can cause the vine to release a Grappled creature (no action required).
As a Bonus Action on your later turns, you can repeat the attack against a creature within 30 feet of the vine.
Using a Higher-Level Spell Slot. The number of creatures the vine can grapple increases by one for each spell slot level above 4",No,Level 4,Bonus Action,,"V, S",,"Concentration, up to 1 Minute",280,Damage,Attack Roll,Grappled,Bludgeoning,G,No,No,Yes,No,Yes,No,No,No
